Job Title,Company Name,Location,Category,Seniority Level,Employment Type,Job Description,Extracted Skills,Extracted Experience (Years),Extracted Education,Extracted Duties
Clinic Coordinator,LegalBridge LLP,"Austin, TX",Healthcare Professional,Senior,Part-time,"As a Clinic Coordinator, you will be expected to handle responsibilities including treatment, diagnosis, clinic, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Healthcare or related field is required.. Candidates must have strong skills in patient, diagnosis, hospital, treatment. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in nurse or equivalent hands-on experience.","treatment, hospital, nurse, clinic, ui, diagnosis, patient",4,Master in Healthcare Or Related Field,"As a Clinic Coordinator, you will be expected to handle responsibilities including treatment, diagnosis, clinic, collaborating with cross-functional teams, and supporting strategic goals"
Legal Associate,EduMentor Academy,"New York, NY",Advocate (Lawyer),Entry-level,Temporary,"As a Legal Associate, you will be expected to handle responsibilities including lawyer, court, litigation, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Advocate or related field is required.. Candidates must have strong skills in contract, court, litigation, lawyer. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in court or equivalent hands-on experience.","litigation, contract, court, legal, ui, lawyer",4,Associate in Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including lawyer, court, litigation, collaborating with cross-functional teams, and supporting strategic goals"
High School Teacher,TechNova Solutions,"New York, NY",Teacher,Senior,Temporary,"Technical diploma in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in students, lesson, education, classroom. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in lesson or equivalent hands-on experience.","lesson, classroom, ui, education, students, teaching",5,Diploma in Teacher Or Related Field,Technical diploma in Teacher or related field is required
Partnership Manager,WellCare Health,"Austin, TX",Business Development,Mid,Contract,"As a Partnership Manager, you will be expected to handle responsibilities including partnership, crm, leads, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Business or related field is required.. Candidates must have strong skills in leads, sales, partnership, crm. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in growth or equivalent hands-on experience.","partnership, sales, business, lead, crm, growth, ui, leads",3,Phd in A Relevant Field In Business Or Related Field,"As a Partnership Manager, you will be expected to handle responsibilities including partnership, crm, leads, collaborating with cross-functional teams, and supporting strategic goals"
Sous Chef,WellCare Health,Hybrid,Chef,Senior,Full-time,"As a Sous Chef, you will be expected to handle responsibilities including recipe, kitchen, cooking, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Chef or related field is required.. Candidates must have strong skills in menu, culinary, recipe, chef. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in cooking or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",6,Associate in Chef Or Related Field,"As a Sous Chef, you will be expected to handle responsibilities including recipe, kitchen, cooking, collaborating with cross-functional teams, and supporting strategic goals"
Sales Strategist,EduMentor Academy,"Los Angeles, CA",Business Development,Entry-level,Contract,"As a Sales Strategist, you will be expected to handle responsibilities including sales, growth, leads, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Business or related field is required.. Candidates must have strong skills in partnership, sales, crm, growth. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in crm or equivalent hands-on experience.","partnership, sales, business, lead, crm, growth, ui, leads",2,Phd in A Relevant Field In Business Or Related Field,"As a Sales Strategist, you will be expected to handle responsibilities including sales, growth, leads, collaborating with cross-functional teams, and supporting strategic goals"
Executive Chef,FitCore Gym,"Los Angeles, CA",Chef,Senior,Part-time,"As a Executive Chef, you will be expected to handle responsibilities including chef, recipe, kitchen, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Chef or related field is required.. Candidates must have strong skills in chef, recipe, kitchen, menu. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in chef or equivalent hands-on experience.","chef, menu, recipe, ui, kitchen",6,Bachelor in Chef Or Related Field,"As a Executive Chef, you will be expected to handle responsibilities including chef, recipe, kitchen, collaborating with cross-functional teams, and supporting strategic goals"
Cloud Solutions Architect,AgroGrow Co.,"Los Angeles, CA",Information Technology (IT),Mid,Contract,"As a Cloud Solutions Architect, you will be expected to handle responsibilities including backend, frontend, engineer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Information or related field is required.. Candidates must have strong skills in engineer, python, cloud, developer. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in cloud or equivalent hands-on experience.","cloud, engineer, python, frontend, backend, developer, ui",3,Associate in Information Or Related Field,"As a Cloud Solutions Architect, you will be expected to handle responsibilities including backend, frontend, engineer, collaborating with cross-functional teams, and supporting strategic goals"
Legal Associate,MarketMinds Inc.,"Chicago, IL",Advocate (Lawyer),Senior,Temporary,"As a Legal Associate, you will be expected to handle responsibilities including legal, litigation, lawyer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Advocate or related field is required.. Candidates must have strong skills in court, litigation, legal, lawyer. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in lawyer or equivalent hands-on experience.","litigation, court, legal, ui, lawyer",3,Associate in Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including legal, litigation, lawyer, collaborating with cross-functional teams, and supporting strategic goals"
Agronomist,MarketMinds Inc.,"New York, NY",Agriculture Professional,Mid,Full-time,"As a Agronomist, you will be expected to handle responsibilities including farming, soil, crop, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Agriculture or related field is required.. Candidates must have strong skills in soil, farming, crop, irrigation. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in soil or equivalent hands-on experience.","crop, irrigation, agriculture, soil, farming, ui",3,Master in Agriculture Or Related Field,"As a Agronomist, you will be expected to handle responsibilities including farming, soil, crop, collaborating with cross-functional teams, and supporting strategic goals"
Fitness Coach,MarketMinds Inc.,Remote,Fitness Trainer,Mid,Contract,"As a Fitness Coach, you will be expected to handle responsibilities including workout, trainer, nutrition, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Fitness or related field is required.. Candidates must have strong skills in nutrition, exercise, fitness, workout. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in workout or equivalent hands-on experience.","fitness, exercise, trainer, nutrition, workout, ui",4,Master in Fitness Or Related Field,"As a Fitness Coach, you will be expected to handle responsibilities including workout, trainer, nutrition, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in nutrition, exercise, fitness, workout"
Sales Executive,PixelCraft Studios,"New York, NY",Sales,Mid,Contract,"As a Sales Executive, you will be expected to handle responsibilities including quota, lead, sales, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Sales or related field is required.. Candidates must have strong skills in closing, lead, pipeline, sales. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in quota or equivalent hands-on experience.","sales, lead, closing, pipeline, ui, quota",2,Bachelor in Sales Or Related Field,"As a Sales Executive, you will be expected to handle responsibilities including quota, lead, sales, collaborating with cross-functional teams, and supporting strategic goals"
Sous Chef,MarketMinds Inc.,Hybrid,Chef,Senior,Contract,"As a Sous Chef, you will be expected to handle responsibilities including cooking, kitchen, culinary, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Chef or related field is required.. Candidates must have strong skills in kitchen, chef, menu, recipe. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in cooking or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",5,Associate in Chef Or Related Field,"As a Sous Chef, you will be expected to handle responsibilities including cooking, kitchen, culinary, collaborating with cross-functional teams, and supporting strategic goals"
Personal Trainer,SalesSphere Ltd.,Remote,Fitness Trainer,Mid,Part-time,"As a Personal Trainer, you will be expected to handle responsibilities including fitness, trainer, workout, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Fitness or related field is required.. Candidates must have strong skills in fitness, workout, hiit, exercise. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in hiit or equivalent hands-on experience.","fitness, exercise, trainer, hiit, workout, ui",4,Phd in A Relevant Field In Fitness Or Related Field,"As a Personal Trainer, you will be expected to handle responsibilities including fitness, trainer, workout, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in fitness, workout, hiit, exercise"
UI/UX Designer,FitCore Gym,"Austin, TX",Designer (Graphic/UI/UX),Entry-level,Contract,"As a UI/UX Designer, you will be expected to handle responsibilities including ui, ux, adobe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in designer, prototype, figma, wireframe. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in ui or equivalent hands-on experience.","prototype, ux, figma, wireframe, adobe, designer, ui",2,Bachelor in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including ui, ux, adobe, collaborating with cross-functional teams, and supporting strategic goals"
Advisory Consultant,MarketMinds Inc.,Remote,Consultant,Entry-level,Full-time,"As a Advisory Consultant, you will be expected to handle responsibilities including consultant, analysis, presentation, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. PhD in a relevant field in Consultant or related field is required.. Candidates must have strong skills in advisory, strategy, analysis, presentation. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in strategy or equivalent hands-on experience.","presentation, analysis, ui, advisory, consultant, strategy",6,Phd in A Relevant Field In Consultant Or Related Field,"As a Advisory Consultant, you will be expected to handle responsibilities including consultant, analysis, presentation, collaborating with cross-functional teams, and supporting strategic goals"
Litigation Specialist,GourmetNest,Remote,Advocate (Lawyer),Senior,Part-time,"As a Litigation Specialist, you will be expected to handle responsibilities including court, case, legal, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Advocate or related field is required.. Candidates must have strong skills in court, litigation, lawyer, case. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in case or equivalent hands-on experience.","litigation, court, legal, ui, case, lawyer",3,Associate in Advocate Or Related Field,"As a Litigation Specialist, you will be expected to handle responsibilities including court, case, legal, collaborating with cross-functional teams, and supporting strategic goals"
Primary School Teacher,TechNova Solutions,"Los Angeles, CA",Teacher,Mid,Part-time,"Bachelor’s degree in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in lesson, curriculum, classroom, teaching. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in students or equivalent hands-on experience.","lesson, classroom, curriculum, ui, education, students, teaching",2,Bachelor in Teacher Or Related Field,Bachelor’s degree in Teacher or related field is required
HR Manager,GourmetNest,"Chicago, IL",Human Resources (HR),Senior,Part-time,"As a HR Manager, you will be expected to handle responsibilities including employee relations, talent, payroll, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Human or related field is required.. Candidates must have strong skills in employee relations, recruitment, hr, talent. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in employee relations or equivalent hands-on experience.","hr, employee relations, payroll, talent, recruitment, ui",2,Associate in Human Or Related Field,"As a HR Manager, you will be expected to handle responsibilities including employee relations, talent, payroll, collaborating with cross-functional teams, and supporting strategic goals"
Pastry Chef,WellCare Health,Hybrid,Chef,Mid,Contract,"As a Pastry Chef, you will be expected to handle responsibilities including menu, chef, cooking, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Chef or related field is required.. Candidates must have strong skills in chef, culinary, kitchen, recipe. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in chef or equivalent hands-on experience.","chef, menu, culinary, recipe, ui, kitchen, cooking",6,High school in Chef Or Related Field,"As a Pastry Chef, you will be expected to handle responsibilities including menu, chef, cooking, collaborating with cross-functional teams, and supporting strategic goals"
Crop Specialist,PixelCraft Studios,"Los Angeles, CA",Agriculture Professional,Mid,Temporary,"As a Crop Specialist, you will be expected to handle responsibilities including irrigation, crop, soil, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Agriculture or related field is required.. Candidates must have strong skills in farming, crop, irrigation, soil. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in soil or equivalent hands-on experience.","crop, irrigation, agriculture, soil, farming, ui",3,Associate in Agriculture Or Related Field,"As a Crop Specialist, you will be expected to handle responsibilities including irrigation, crop, soil, collaborating with cross-functional teams, and supporting strategic goals"
UI/UX Designer,WellCare Health,"Austin, TX",Designer (Graphic/UI/UX),Mid,Contract,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, adobe, figma, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in prototype, ux, wireframe, designer. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in wireframe or equivalent hands-on experience.","prototype, ux, figma, wireframe, adobe, designer, ui",3,Bachelor in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, adobe, figma, collaborating with cross-functional teams, and supporting strategic goals"
Advisory Consultant,MarketMinds Inc.,"Chicago, IL",Consultant,Entry-level,Part-time,"As a Advisory Consultant, you will be expected to handle responsibilities including analysis, presentation, strategy, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Consultant or related field is required.. Candidates must have strong skills in presentation, analysis, advisory, consultant. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in strategy or equivalent hands-on experience.","presentation, analysis, ui, advisory, consultant, strategy",2,Associate in Consultant Or Related Field,"As a Advisory Consultant, you will be expected to handle responsibilities including analysis, presentation, strategy, collaborating with cross-functional teams, and supporting strategic goals"
Personal Trainer,BlueSky HR,Remote,Fitness Trainer,Mid,Part-time,"As a Personal Trainer, you will be expected to handle responsibilities including workout, trainer, nutrition, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Fitness or related field is required.. Candidates must have strong skills in workout, hiit, nutrition, fitness. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in fitness or equivalent hands-on experience.","fitness, trainer, nutrition, hiit, workout, ui",5,Master in Fitness Or Related Field,"As a Personal Trainer, you will be expected to handle responsibilities including workout, trainer, nutrition, collaborating with cross-functional teams, and supporting strategic goals Candidates must have strong skills in workout, hiit, nutrition, fitness"
Partnership Manager,BlueSky HR,Remote,Business Development,Mid,Full-time,"As a Partnership Manager, you will be expected to handle responsibilities including growth, leads, partnership, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Business or related field is required.. Candidates must have strong skills in leads, partnership, crm, sales. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in leads or equivalent hands-on experience.","partnership, sales, business, lead, crm, growth, ui, leads",3,High school in Business Or Related Field,"As a Partnership Manager, you will be expected to handle responsibilities including growth, leads, partnership, collaborating with cross-functional teams, and supporting strategic goals"
HR Manager,EduMentor Academy,"Los Angeles, CA",Human Resources (HR),Senior,Temporary,"As a HR Manager, you will be expected to handle responsibilities including hr, talent, recruitment, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Human or related field is required.. Candidates must have strong skills in payroll, employee relations, hr, talent. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in talent or equivalent hands-on experience.","hr, employee relations, payroll, talent, recruitment, ui",4,Diploma in Human Or Related Field,"As a HR Manager, you will be expected to handle responsibilities including hr, talent, recruitment, collaborating with cross-functional teams, and supporting strategic goals"
Advisory Consultant,GourmetNest,Hybrid,Consultant,Senior,Part-time,"As a Advisory Consultant, you will be expected to handle responsibilities including analysis, consultant, advisory, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Consultant or related field is required.. Candidates must have strong skills in analysis, presentation, consultant, strategy. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in presentation or equivalent hands-on experience.","presentation, analysis, ui, advisory, consultant, strategy",2,High school in Consultant Or Related Field,"As a Advisory Consultant, you will be expected to handle responsibilities including analysis, consultant, advisory, collaborating with cross-functional teams, and supporting strategic goals"
Software Engineer,EduMentor Academy,"New York, NY",Information Technology (IT),Mid,Contract,"As a Software Engineer, you will be expected to handle responsibilities including software, python, frontend, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Information or related field is required.. Candidates must have strong skills in engineer, python, cloud, frontend. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in frontend or equivalent hands-on experience.","cloud, engineer, python, software, frontend, ui",3,Bachelor in Information Or Related Field,"As a Software Engineer, you will be expected to handle responsibilities including software, python, frontend, collaborating with cross-functional teams, and supporting strategic goals"
Graphic Designer,GourmetNest,"Austin, TX",Designer (Graphic/UI/UX),Mid,Temporary,"As a Graphic Designer, you will be expected to handle responsibilities including figma, ui, designer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in figma, adobe, prototype, wireframe. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in ui or equivalent hands-on experience.","prototype, figma, wireframe, adobe, designer, ui",2,Bachelor in Designer Or Related Field,"As a Graphic Designer, you will be expected to handle responsibilities including figma, ui, designer, collaborating with cross-functional teams, and supporting strategic goals"
Legal Associate,GourmetNest,"Austin, TX",Advocate (Lawyer),Senior,Contract,"As a Legal Associate, you will be expected to handle responsibilities including contract, litigation, legal, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Advocate or related field is required.. Candidates must have strong skills in litigation, legal, case, lawyer. A minimum of 6 years of relevant experience is required for this role. Preferred: certifications in court or equivalent hands-on experience.","litigation, contract, court, legal, ui, case, lawyer",6,Associate in Advocate Or Related Field,"As a Legal Associate, you will be expected to handle responsibilities including contract, litigation, legal, collaborating with cross-functional teams, and supporting strategic goals"
Advisory Consultant,EduMentor Academy,Remote,Consultant,Mid,Temporary,"As a Advisory Consultant, you will be expected to handle responsibilities including strategy, presentation, consultant, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Consultant or related field is required.. Candidates must have strong skills in analysis, advisory, presentation, strategy. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in consultant or equivalent hands-on experience.","presentation, analysis, ui, advisory, consultant, strategy",3,High school in Consultant Or Related Field,"As a Advisory Consultant, you will be expected to handle responsibilities including strategy, presentation, consultant, collaborating with cross-functional teams, and supporting strategic goals"
Primary School Teacher,GourmetNest,Hybrid,Teacher,Mid,Temporary,"PhD in a relevant field in Teacher or related field is required.. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. A Bachelor’s degree in Teacher or a related field is required. Candidates must have strong skills in lesson, students, teaching, classroom. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in teaching or equivalent hands-on experience.","lesson, classroom, ui, education, students, teaching",4,Phd in A Relevant Field In Teacher Or Related Field,PhD in a relevant field in Teacher or related field is required
Partnership Manager,TechNova Solutions,"New York, NY",Business Development,Mid,Contract,"As a Partnership Manager, you will be expected to handle responsibilities including business, partnership, crm, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Business or related field is required.. Candidates must have strong skills in leads, business, growth, sales. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in sales or equivalent hands-on experience.","partnership, sales, business, lead, crm, growth, ui, leads",5,Associate in Business Or Related Field,"As a Partnership Manager, you will be expected to handle responsibilities including business, partnership, crm, collaborating with cross-functional teams, and supporting strategic goals"
Corporate Lawyer,TechNova Solutions,"Los Angeles, CA",Advocate (Lawyer),Senior,Full-time,"As a Corporate Lawyer, you will be expected to handle responsibilities including litigation, legal, lawyer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Technical diploma in Advocate or related field is required.. Candidates must have strong skills in court, litigation, legal, case. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in litigation or equivalent hands-on experience.","litigation, court, legal, ui, case, lawyer",2,Diploma in Advocate Or Related Field,"As a Corporate Lawyer, you will be expected to handle responsibilities including litigation, legal, lawyer, collaborating with cross-functional teams, and supporting strategic goals"
UI/UX Designer,PixelCraft Studios,"Los Angeles, CA",Designer (Graphic/UI/UX),Mid,Temporary,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, ux, adobe, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Designer or related field is required.. Candidates must have strong skills in adobe, prototype, figma, ux. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in ui or equivalent hands-on experience.","prototype, ux, figma, wireframe, adobe, designer, ui",5,Bachelor in Designer Or Related Field,"As a UI/UX Designer, you will be expected to handle responsibilities including wireframe, ux, adobe, collaborating with cross-functional teams, and supporting strategic goals"
Product Designer,WellCare Health,"Chicago, IL",Designer (Graphic/UI/UX),Mid,Full-time,"As a Product Designer, you will be expected to handle responsibilities including ux, adobe, prototype, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. High school diploma in Designer or related field is required.. Candidates must have strong skills in figma, designer, ui, wireframe. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in figma or equivalent hands-on experience.","prototype, ux, figma, wireframe, adobe, designer, ui",5,High school in Designer Or Related Field,"As a Product Designer, you will be expected to handle responsibilities including ux, adobe, prototype, collaborating with cross-functional teams, and supporting strategic goals"
Executive Chef,FitCore Gym,"Austin, TX",Chef,Entry-level,Temporary,"As a Executive Chef, you will be expected to handle responsibilities including kitchen, culinary, chef, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Associate degree in Chef or related field is required.. Candidates must have strong skills in menu, kitchen, chef, cooking. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in kitchen or equivalent hands-on experience.","chef, menu, culinary, ui, kitchen, cooking",5,Associate in Chef Or Related Field,"As a Executive Chef, you will be expected to handle responsibilities including kitchen, culinary, chef, collaborating with cross-functional teams, and supporting strategic goals"
Fitness Coach,PixelCraft Studios,"Chicago, IL",Fitness Trainer,Mid,Full-time,"As a Fitness Coach, you will be expected to handle responsibilities including trainer, fitness, workout, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Fitness or related field is required.. Candidates must have strong skills in nutrition, trainer, fitness, hiit. A minimum of 5 years of relevant experience is required for this role. Preferred: certifications in exercise or equivalent hands-on experience.","fitness, exercise, trainer, nutrition, hiit, workout, ui",5,Master in Fitness Or Related Field,"As a Fitness Coach, you will be expected to handle responsibilities including trainer, fitness, workout, collaborating with cross-functional teams, and supporting strategic goals"
Backend Developer,SalesSphere Ltd.,Remote,Information Technology (IT),Senior,Temporary,"As a Backend Developer, you will be expected to handle responsibilities including cloud, backend, developer, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Information or related field is required.. Candidates must have strong skills in cloud, python, developer, backend. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in software or equivalent hands-on experience.","cloud, python, software, backend, developer, ui",4,Master in Information Or Related Field,"As a Backend Developer, you will be expected to handle responsibilities including cloud, backend, developer, collaborating with cross-functional teams, and supporting strategic goals"
Litigation Specialist,FitCore Gym,"Chicago, IL",Advocate (Lawyer),Entry-level,Full-time,"As a Litigation Specialist, you will be expected to handle responsibilities including contract, litigation, court, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Master’s degree in Advocate or related field is required.. Candidates must have strong skills in court, case, lawyer, legal. A minimum of 4 years of relevant experience is required for this role. Preferred: certifications in lawyer or equivalent hands-on experience.","litigation, contract, court, legal, ui, case, lawyer",4,Master in Advocate Or Related Field,"As a Litigation Specialist, you will be expected to handle responsibilities including contract, litigation, court, collaborating with cross-functional teams, and supporting strategic goals"
Account Manager,LegalBridge LLP,Hybrid,Sales,Mid,Full-time,"As a Account Manager, you will be expected to handle responsibilities including crm, quota, closing, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Sales or related field is required.. Candidates must have strong skills in closing, sales, pipeline, crm. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in quota or equivalent hands-on experience.","sales, crm, closing, pipeline, ui, quota",3,Bachelor in Sales Or Related Field,"As a Account Manager, you will be expected to handle responsibilities including crm, quota, closing, collaborating with cross-functional teams, and supporting strategic goals"
Clinic Coordinator,LegalBridge LLP,"New York, NY",Healthcare Professional,Senior,Temporary,"As a Clinic Coordinator, you will be expected to handle responsibilities including hospital, diagnosis, nurse, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Healthcare or related field is required.. Candidates must have strong skills in diagnosis, clinic, hospital, treatment. A minimum of 3 years of relevant experience is required for this role. Preferred: certifications in hospital or equivalent hands-on experience.","treatment, hospital, nurse, clinic, ui, diagnosis",3,Bachelor in Healthcare Or Related Field,"As a Clinic Coordinator, you will be expected to handle responsibilities including hospital, diagnosis, nurse, collaborating with cross-functional teams, and supporting strategic goals"
Cloud Solutions Architect,WellCare Health,"Chicago, IL",Information Technology (IT),Senior,Contract,"As a Cloud Solutions Architect, you will be expected to handle responsibilities including backend, software, frontend, collaborating with cross-functional teams, and supporting strategic goals. Daily tasks will include project oversight, technical planning, and maintaining effective communication with stakeholders. Bachelor’s degree in Information or related field is required.. Candidates must have strong skills in software, cloud, engineer, python. A minimum of 2 years of relevant experience is required for this role. Preferred: certifications in python or equivalent hands-on experience.","cloud, engineer, python, software, frontend, backend, ui",2,Bachelor in Information Or Related Field,"As a Cloud Solutions Architect, you will be expected to handle responsibilities including backend, software, frontend, collaborating with cross-functional teams, and supporting strategic goals"
